gameReferenceId,id,period,periodTime,gameTime,currentPossession,teamInPossession,currentPlayInPossession,isPossessionEvent,isDefensiveEvent,isPossessionBreaking,isLastPlayOfPossession,frame,timecode,shorthand,name,zone,type,outcome,flags,previousName,previousType,previousOutcome,xCoord,yCoord,xAdjCoord,yAdjCoord,scoreDifferential,manpowerSituation,teamSkatersOnIce,teamForwardsOnIceRefs,teamDefencemenOnIceRefs,teamGoalieOnIceRef,opposingTeamSkatersOnIce,opposingTeamForwardsOnIceRefs,opposingTeamDefencemenOnIceRefs,opposingTeamGoalieOnIceRef,team,playerJersey,playerPosition,playerFirstName,playerLastName,playerReferenceId,playZone,playSection,expectedGoalsOnNet,expectedGoalsAllShots
20104,763,1,812.16666666667,812.16666666667,110,"Linköping HC",1,true,false,false,true,59318,00:24:32:00,"DZONE D2D OFFBOARDS-",pass,dz,d2doffboards,failed,eastside,none,none,none,97.37265,-2.2647057,-97.37265,2.2647057,0,evenStrength,5,"	2609, 2692, 4097","	3264, 5008","	6438",5,"	2763, 5654, 6431","	3835, 5035","	2968","Linköping HC",30,G,Christian,Heljanko,6438,dz,outsideNorthWestDZ,,
20104,764,1,813.8,813.8,111,"Brynäs Brynäs IF",0,true,false,false,false,59367,00:24:33:19,"LPR+ OZ",lpr,oz,error,successful,alongboards,none,none,none,70.23276,-39.482216,70.23276,-39.482216,0,evenStrength,5,"	2763, 5654, 6431","	3835, 5035","	2968",5,"	2609, 2692, 4097","	3264, 5008","	6438","Brynäs Brynäs IF",52,LW,Jack,Kopacka,5654,oz,outsideNorthWest,,
20104,765,1,813.93333333333,813.93333333333,111,"Brynäs Brynäs IF",1,false,false,false,false,59371,00:24:33:23,"FAILED PASS TRAJECTORY LOCATION DZ",failedpasslocation,dz,none,failed,,none,none,none,76.24913,-39.985294,-76.24913,39.985294,0,evenStrength,5,"	2609, 2692, 4097","	3264, 5008","	6438",5,"	2763, 5654, 6431","	3835, 5035","	2968","Linköping HC",30,G,Christian,Heljanko,6438,dz,outsideNorthWestDZ,,
20104,766,1,813.96666666667,813.96666666667,111,"Brynäs Brynäs IF",2,true,false,false,false,59372,00:24:33:24,"NORTH CYCLE OFFBOARDS+",pass,oz,northoffboards,successful,westeast,none,none,none,74.25647,-39.482216,74.25647,-39.482216,0,evenStrength,5,"	2763, 5654, 6431","	3835, 5035","	2968",5,"	2609, 2692, 4097","	3264, 5008","	6438","Brynäs Brynäs IF",52,LW,Jack,Kopacka,5654,oz,outsideNorthWest,,
20104,767,1,815.7,815.7,111,"Brynäs Brynäs IF",3,true,false,false,false,59424,00:24:35:16,"O-ZONE PASS RECEPTION",reception,oz,regular,successful,,none,none,none,82.30391,38.98021,82.30391,38.98021,0,evenStrength,5,"	2763, 5654, 6431","	3835, 5035","	2968",5,"	2609, 2692, 4097","	3264, 5008","	6438","Brynäs Brynäs IF",8,RW,Bobby,Trivigno,6431,oz,outsideNorthEast,,
20104,768,1,817.5,817.5,111,"Brynäs Brynäs IF",4,true,false,false,false,59478,00:24:37:10,"NORTH CYCLE OFFBOARDS+",pass,oz,northoffboards,successful,eastside,none,none,none,59.670517,37.97428,59.670517,37.97428,0,evenStrength,5,"	2763, 5654, 6431","	3835, 4703","	2968",5,"	2609, 2692, 4097","	3264, 5008","	6438","Brynäs Brynäs IF",8,RW,Bobby,Trivigno,6431,oz,outsideNorthEast,,
20104,769,1,819.23333333333,819.23333333333,111,"Brynäs Brynäs IF",5,true,false,false,false,59530,00:24:39:02,"O-ZONE PASS RECEPTION",reception,oz,regular,successful,,none,none,none,93.872086,15.340893,93.872086,15.340893,0,evenStrength,5,"	2763, 5654, 6431","	4076, 4703","	2968",5,"	2609, 2692, 4097","	3264, 5008","	6438","Brynäs Brynäs IF",36,C,Linus,Olund,2763,oz,outsideNorthEast,,
20104,770,1,820.36666666667,820.36666666667,111,"Brynäs Brynäs IF",6,true,false,false,true,59564,00:24:40:06,OZDEKE-,puckprotection,oz,deke,failed,,none,none,none,96.88986,7.7964287,96.88986,7.7964287,0,evenStrength,5,"	2763, 5654, 6431","	4076, 4703","	2968",5,"	2609, 2692, 4097","	3264, 5008","	6438","Brynäs Brynäs IF",36,C,Linus,Olund,2763,oz,outsideNorthEast,,
20104,771,1,820.96666666667,820.96666666667,112,"Linköping HC",0,true,false,false,false,59582,00:24:40:24,"LPR+ DZ",lpr,dz,error,successful,,none,none,none,88.31972,6.2852936,-88.31972,-6.2852936,0,evenStrength,5,"	2609, 2692, 4097","	3264, 5008","	6438",5,"	2763, 5654, 6431","	4076, 4703","	2968","Linköping HC",21,C,Christoffer,Ehn,2609,dz,outsideNorthEastDZ,,
20104,772,1,822.76666666667,822.76666666667,112,"Linköping HC",1,true,false,false,false,59636,00:24:42:18,"DZONE D2D OFFBOARDS+",pass,dz,d2doffboards,successful,eastside,none,none,none,93.852066,-18.358824,-93.852066,18.358824,0,evenStrength,5,"	2609, 2692, 4097","	3264, 5008","	6438",5,"	2763, 5654, 6431","	4076, 4703","	2968","Linköping HC",21,C,Christoffer,Ehn,2609,dz,outsideNorthWestDZ,,
20104,773,1,824.6,824.6,112,"Linköping HC",2,true,false,false,false,59691,00:24:44:13,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,70.21384,-39.985294,-70.21384,39.985294,0,evenStrength,5,"	2609, 2692, 4097","	3264, 5008","	6438",5,"	2763, 5654, 6431","	4076, 4703","	2968","Linköping HC",11,RW,Henrik,Törnqvist,2692,dz,outsideNorthWestDZ,,
20104,774,1,825.66666666667,825.66666666667,112,"Linköping HC",3,true,false,false,false,59723,00:24:45:15,"DZONE D2D OFFBOARDS+",pass,dz,d2doffboards,successful,eastside,none,none,none,76.24913,-40.488235,-76.24913,40.488235,0,evenStrength,5,"	2609, 2692, 4097","	3264, 5008","	6438",5,"	2763, 5654, 6431","	4076, 4703","	2968","Linköping HC",11,RW,Henrik,Törnqvist,2692,dz,outsideNorthWestDZ,,
20104,775,1,826.56666666667,826.56666666667,112,"Linköping HC",4,true,false,false,false,59750,00:24:46:12,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,94.35501,-27.914705,-94.35501,27.914705,0,evenStrength,5,"	2609, 2692, 4097","	3264, 5008","	6438",5,"	2763, 5654, 6431","	4076, 4703","	2968","Linköping HC",6,D,Mattias,Hävelid,5008,dz,outsideNorthWestDZ,,
20104,776,1,838,838,112,"Linköping HC",5,true,false,false,false,60093,00:24:57:25,"DZ OUTLET PASS+",pass,dz,outlet,successful,eastside,none,none,none,74.74031,-26.908823,-74.74031,26.908823,0,evenStrength,5,"	2257, 4935, 4998","	1655, 2027","	6438",5,"	1439, 2601, 6430","	4076, 4703","	2968","Linköping HC",6,D,Mattias,Hävelid,5008,dz,outsideNorthWestDZ,,
20104,777,1,838.66666666667,838.66666666667,112,"Linköping HC",6,true,false,false,false,60113,00:24:58:15,"D-ZONE PASS RECEPTION",reception,dz,regular,successful,,none,none,none,28.469711,-14.335295,-28.469711,14.335295,0,evenStrength,5,"	2257, 4935, 4998","	1655, 2027","	6438",5,"	1439, 2601, 6430","	4076, 4703","	2968","Linköping HC",20,C,Johan,Johnsson,2257,dz,westPointDZ,,
20104,778,1,838.73333333333,838.73333333333,112,"Linköping HC",7,true,false,false,false,60115,00:24:58:17,"CONTROLLED EXIT FROM DZ",carry,dz,none,successful,,none,none,none,25.95501,-17.352942,-25.95501,17.352942,0,evenStrength,5,"	2257, 4935, 4998","	1655, 2027","	6438",5,"	1439, 2601, 6430","	4076, 4703","	2968","Linköping HC",20,C,Johan,Johnsson,2257,nz,southCenterNZ,,
20104,779,1,839.8,839.8,112,"Linköping HC",8,true,false,false,false,60147,00:24:59:19,"CARRY OVER REDLINE",carry,nz,none,successful,,none,none,none,-0.20057678,-32.441177,0.20057678,32.441177,0,evenStrength,5,"	2257, 4935, 4998","	1655, 2027","	6438",5,"	1439, 2601, 6430","	4076, 4703","	2968","Linköping HC",20,C,Johan,Johnsson,2257,nz,northEastBoardsNZ,,
20104,780,1,840.7,840.7,112,"Linköping HC",9,true,false,false,false,60174,00:25:00:16,"CONTROLLED ENTRY INTO OZ",carry,oz,none,successful,"eastofdot, withplayafter",none,none,none,-25.347633,-38.47647,25.347633,38.47647,0,evenStrength,5,"	2257, 4935, 4998","	1655, 2027","	6438",5,"	1439, 2601, 6430","	4076, 4703","	2968","Linköping HC",20,C,Johan,Johnsson,2257,oz,eastPoint,,
20104,781,1,840.73333333333,840.73333333333,112,"Linköping HC",10,false,false,false,false,60175,00:25:00:17,"3on3 CONTROLLED ENTRY AGAINST-",controlledentryagainst,dz,3on3,failed,,none,none,none,-28.367363,-31.938236,-28.367363,-31.938236,0,evenStrength,5,"	1439, 2601, 6430","	4076, 4703","	2968",5,"	2257, 4935, 4998","	1655, 2027","	6438","Brynäs Brynäs IF",11,C,Jordan,Schroeder,6430,dz,eastPointDZ,,
